CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
81580179.0,-49.2235692856984,-25.4968867857253,1,10:58:12,76,81945040.0,-49.3138372232201,-25.6022235414387,NAO,11:10:32
81945040.0,-49.3138372232201,-25.6022235414387,1,11:10:32,44,81110240.0,-49.2880626203316,-25.5012202607084,NAO,11:19:51
81110240.0,-49.2880626203316,-25.5012202607084,1,11:19:51,84,82700410.0,-49.2513782763024,-25.3740192069561,NAO,11:27:14
82700410.0,-49.2513782763024,-25.3740192069561,1,11:27:14,64,81810492.0,-49.2718504999625,-25.5044000000137,NAO,11:40:13
81810492.0,-49.2718504999625,-25.5044000000137,1,11:40:13,68,81250610.0,-49.3409114723655,-25.4933426909383,NAO,11:47:48
81250610.0,-49.3409114723655,-25.4933426909383,1,11:47:48,52,80240660.0,-49.2916382221557,-25.4542530556284,SIM,11:54:52
80240660.0,-49.2916382221557,-25.4542530556284,1,11:54:52,68,81310370.0,-49.3186624209516,-25.5005119473929,NAO,12:00:57
81310370.0,-49.3186624209516,-25.5005119473929,1,12:00:57,96,80035230.0,-49.2512257402299,-25.4008064386385,NAO,12:07:50
80035230.0,-49.2512257402299,-25.4008064386385,1,12:07:50,60,81050637.0,-49.3145007999984,-25.4835295000015,NAO,12:20:10
81050637.0,-49.3145007999984,-25.4835295000015,1,12:20:10,56,81550315.0,-49.208315008611,-25.4881320075695,SIM,12:33:28
81550315.0,-49.208315008611,-25.4881320075695,1,12:33:28,64,82400000.0,-49.335596235314,-25.4008242454259,NAO,12:47:41
82400000.0,-49.335596235314,-25.4008242454259,1,12:47:41,48,81470290.0,-49.3412589936849,-25.5737515550149,SIM,13:11:40
81470290.0,-49.3412589936849,-25.5737515550149,1,13:11:40,56,81830580.0,-49.2599985858237,-25.525272804958,NAO,13:22:06
81830580.0,-49.2599985858237,-25.525272804958,1,13:22:06,96,81520250.0,-49.2411990341756,-25.4595564842104,NAO,13:26:09
81520250.0,-49.2411990341756,-25.4595564842104,1,13:26:09,52,81510160.0,-49.2447744337813,-25.4561970876697,NAO,13:27:48
81510160.0,-49.2447744337813,-25.4561970876697,1,13:27:48,64,80710390.0,-49.3055074800751,-25.43427248628,SIM,13:35:02
80710390.0,-49.3055074800751,-25.43427248628,1,13:35:02,72,81910160.0,-49.2694617027723,-25.530759191602,NAO,13:44:23
81910160.0,-49.2694617027723,-25.530759191602,1,13:44:23,76,80740620.0,-49.3156172471767,-25.4417320478243,NAO,13:51:11
80740620.0,-49.3156172471767,-25.4417320478243,1,13:51:11,72,81480152.0,-49.3207049341475,-25.5584308697738,SIM,14:01:18
81480152.0,-49.3207049341475,-25.5584308697738,1,14:01:18,56,81170065.0,-49.3200841245732,-25.5110533750523,NAO,14:05:24
81170065.0,-49.3200841245732,-25.5110533750523,1,14:05:24,36,81910550.0,-49.2590953391986,-25.5343119298378,NAO,14:18:25
81910550.0,-49.2590953391986,-25.5343119298378,1,14:18:25,60,80035210.0,-49.2501065029327,-25.4018593540355,SIM,14:27:21
80035210.0,-49.2501065029327,-25.4018593540355,1,14:27:21,40,81850650.0,-49.2439315883873,-25.5414905884625,NAO,14:52:53
81850650.0,-49.2439315883873,-25.5414905884625,1,14:52:53,84,81150330.0,-49.3046045806688,-25.5222469145844,NAO,14:58:41
81150330.0,-49.3046045806688,-25.5222469145844,1,14:58:41,56,80530210.0,-49.266714,-25.415928,SIM,15:07:05
80530210.0,-49.266714,-25.415928,1,15:07:05,88,81450340.0,-49.3486330527676,-25.4902346316319,NAO,15:16:13
81450340.0,-49.3486330527676,-25.4902346316319,1,15:16:13,84,80710040.0,-49.3044615715174,-25.4214634286453,NAO,15:21:41
80710040.0,-49.3044615715174,-25.4214634286453,1,15:21:41,48,80045340.0,-49.2452352041218,-25.4273942123959,NAO,15:30:44
80045340.0,-49.2452352041218,-25.4273942123959,1,15:30:44,88,81940210.0,-49.2872240368535,-25.5603014782721,SIM,15:40:32
81940210.0,-49.2872240368535,-25.5603014782721,1,15:40:32,48,82810080.0,-49.213992719196,-25.4396831550178,SIM,15:53:43
82810080.0,-49.213992719196,-25.4396831550178,1,15:53:43,92,81925578.0,-49.267926124915,-25.5519935625411,NAO,16:02:28
81925578.0,-49.267926124915,-25.5519935625411,1,16:02:28,80,81470340.0,-49.3362378687666,-25.5784518706724,NAO,16:09:43
81470340.0,-49.3362378687666,-25.5784518706724,1,16:09:43,52,81070000.0,-49.3031041977101,-25.4763966710448,NAO,16:18:27
81070000.0,-49.3031041977101,-25.4763966710448,1,16:18:27,72,81930367.0,-49.2710241313602,-25.5617914350131,NAO,16:26:52
81930367.0,-49.2710241313602,-25.5617914350131,1,16:26:52,64,82220470.0,-49.2736981005731,-25.3569461500704,SIM,16:39:21
82220470.0,-49.2736981005731,-25.3569461500704,1,16:39:21,96,80330120.0,-49.3106388116797,-25.4711980670357,NAO,16:47:15
80330120.0,-49.3106388116797,-25.4711980670357,1,16:47:15,88,81460235.0,-49.3384583258202,-25.5296041641745,NAO,16:52:34
81460235.0,-49.3384583258202,-25.5296041641745,1,16:52:34,72,80240550.0,-49.3034312777902,-25.4533378888945,NAO,16:58:34
80240550.0,-49.3034312777902,-25.4533378888945,1,16:58:34,80,81650170.0,-49.2251870078443,-25.4968831947737,SIM,17:07:03
81650170.0,-49.2251870078443,-25.4968831947737,1,17:07:03,40,81825210.0,-49.2736153558222,-25.5262738689431,NAO,17:17:36
81825210.0,-49.2736153558222,-25.5262738689431,1,17:17:36,76,82990150.0,-49.1940915354714,-25.4599432722975,SIM,17:25:58
82990150.0,-49.1940915354714,-25.4599432722975,1,17:25:58,64,81470346.0,-49.33524810001,-25.5796239000291,SIM,17:45:39
81470346.0,-49.33524810001,-25.5796239000291,1,17:45:39,60,81350320.0,-49.3318588311607,-25.4992029361912,NAO,17:51:14
81350320.0,-49.3318588311607,-25.4992029361912,1,17:51:14,48,80040153.0,-49.2481648998847,-25.4213319028677,NAO,18:03:10
80040153.0,-49.2481648998847,-25.4213319028677,1,18:03:10,80,81030370.0,-49.2756635796428,-25.4881800174281,SIM,18:09:44
81030370.0,-49.2756635796428,-25.4881800174281,1,18:09:44,44,82520040.0,-49.2301156541579,-25.413549500017,SIM,18:18:20
82520040.0,-49.2301156541579,-25.413549500017,1,18:18:20,92,82520095.0,-49.2400308757049,-25.4146626252933,SIM,18:20:15
82520095.0,-49.2400308757049,-25.4146626252933,1,18:20:15,40,81320083.0,-49.3183277499707,-25.4770955000105,SIM,18:38:01
81320083.0,-49.3183277499707,-25.4770955000105,1,18:38:01,44,81590576.0,-49.2012669496276,-25.4942162501529,NAO,18:56:37
81590576.0,-49.2012669496276,-25.4942162501529,1,18:56:37,52,81670260.0,-49.2550349720709,-25.5039440665513,NAO,19:04:42
81670260.0,-49.2550349720709,-25.5039440665513,2,06:00:00,48,81870310.0,-49.290210168982,-25.524150444185,NAO,06:06:45
81870310.0,-49.290210168982,-25.524150444185,2,06:06:45,56,81220170.0,-49.3221956960987,-25.4569440522711,NAO,06:12:54
81220170.0,-49.3221956960987,-25.4569440522711,2,06:12:54,72,81170370.0,-49.3258065209142,-25.514465668778,NAO,06:18:56
81170370.0,-49.3258065209142,-25.514465668778,2,06:18:56,36,82510100.0,-49.2385843936,-25.409050749392,SIM,06:34:41
82510100.0,-49.2385843936,-25.409050749392,2,06:34:41,96,80510090.0,-49.2805581841836,-25.4219078028813,NAO,06:38:55
80510090.0,-49.2805581841836,-25.4219078028813,2,06:38:55,52,82025101.0,-49.3131316666906,-25.4089804447922,NAO,06:44:01
82025101.0,-49.3131316666906,-25.4089804447922,2,06:44:01,36,81170662.0,-49.3183728182903,-25.5172792272985,NAO,07:07:38
81170662.0,-49.3183728182903,-25.5172792272985,2,07:07:38,64,81320290.0,-49.3107362306741,-25.4748252660661,NAO,07:11:16
81320290.0,-49.3107362306741,-25.4748252660661,2,07:11:16,44,81710380.0,-49.2594143510465,-25.4967925893433,NAO,07:20:50
81710380.0,-49.2594143510465,-25.4967925893433,2,07:20:50,72,80030430.0,-49.2550561883948,-25.4146322176159,NAO,07:26:10
